jou_id,jou_dftLicense,jou_name
0102-6720,by-nc/4.0,ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)
0044-5967,by-nc/4.0,Acta Amazonica
0102-3306,by-nc/4.0,Acta Botanica Brasilica
0102-8650,by-nc/4.0,Acta Cirurgica Brasileira
2179-975X,by-nc/4.0,Acta Limnologica Brasiliensia
1413-7852,by-nc/4.0,Acta Ortopédica Brasileira
0103-2100,by-nc/4.0,Acta Paulista de Enfermagem
1807-8621,by/4.0,Acta Scientiarum. Agronomy
1807-8672,by/4.0,Acta Scientiarum. Animal Sciences
0002-0591,by-nc/4.0,Afro-Ásia
1516-1498,by/4.0,Ágora: Estudos em Teoria Psicanalítica
1517-106X,by-nc/4.0,Alea : Estudos Neolatinos
1981-5794,by/4.0,Alfa : Revista de Linguística (São José do Rio Preto)
1414-753X,by-nc/4.0,Ambiente & Sociedade
1678-8621,by/4.0,Ambiente Construído
0365-0596,by-nc/4.0,Anais Brasileiros de Dermatologia
0001-3765,by-nc/4.0,Anais da Academia Brasileira de Ciências
0071-1276,by-nc/4.0,Anais da Escola Superior de Agricultura Luiz de Queiroz
0301-8059,by-nc/4.0,Anais da Sociedade Entomológica do Brasil
0101-4714,by-nc/4.0,Anais do Museu Paulista: História e Cultura Material
0101-6083,by-nc/4.0,Archives of Clinical Psychiatry
2359-3997,by-nc/4.0,Archives of Endocrinology and Metabolism
0102-0935,by-nc/4.0,Arquivo Brasileiro de Medicina Veterinária e Zootecnia
0066-782X,by-nc/4.0,Arquivos Brasileiros de Cardiologia
0004-2730,by-nc/4.0,Arquivos Brasileiros de Endocrinologia & Metabologia
0004-2749,by-nc/4.0,Arquivos Brasileiros de Oftalmologia
0004-2803,by-nc/4.0,Arquivos de Gastroenterologia
0004-282X,by-nc/4.0,Arquivos de Neuro-Psiquiatria
1808-1657,by-nc/4.0,Arquivos do Instituto Biológico
1809-4872,by-nc/4.0,Arquivos Internacionais de Otorrinolaringologia
1678-5320,by-nc/4.0,ARS (São Paulo)
2317-6431,by-nc/4.0,Audiology - Communication Research
1414-4077,by-nc/4.0,Avaliação: Revista da Avaliação da Educação Superior (Campinas)
2176-4573,by/4.0,Bakhtiniana: Revista de Estudos do Discurso
1807-7692,by-nc/4.0,BAR - Brazilian Administration Review
1676-0603,by-nc/4.0,Biota Neotropica
0103-636X,by-nc/4.0,Bolema: Boletim de Educação Matemática
1982-2170,by/4.0,Boletim de Ciências Geodésicas
0373-5524,by-nc/4.0,Boletim do Instituto Oceanográfico
0100-4239,by-nc/4.0,Boletim do Instituto Paulista de Oceanografia
1981-8122,by-nc/4.0,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas
0006-8705,by-nc/4.0,Bragantia
1516-8913,by-nc/4.0,Brazilian Archives of Biology and Technology
0103-6440,by-nc/4.0,Brazilian Dental Journal
1519-6984,by-nc/4.0,Brazilian Journal of Biology
0100-8404,by-nc/4.0,Brazilian Journal of Botany
0104-6632,by-nc/4.0,Brazilian Journal of Chemical Engineering
1981-6723,by/4.0,Brazilian Journal of Food Technology
0100-8455,by-nc/4.0,Brazilian Journal of Genetics
2317-4889,by-nc/4.0,Brazilian Journal of Geology
1413-8670,by-nc-nd/4.0,Brazilian Journal of Infectious Diseases
0100-879X,by/4.0,Brazilian Journal of Medical and Biological Research
1517-8382,by-nc/4.0,Brazilian Journal of Microbiology
1679-8759,by-nc/4.0,Brazilian Journal of Oceanography
1677-3225,by-nc/4.0,Brazilian Journal of Oral Sciences
1808-8694,by-nc-nd/4.0,Brazilian Journal of Otorhinolaryngology
1984-8250,by-nc/4.0,Brazilian Journal of Pharmaceutical Sciences
1413-3555,by-nc/4.0,Brazilian Journal of Physical Therapy
0103-9733,by-nc/4.0,Brazilian Journal of Physics
1677-0420,by-nc/4.0,Brazilian Journal of Plant Physiology
1413-9596,by-nc/4.0,Brazilian Journal of Veterinary Research and Animal Science
1806-8324,by-nc/4.0,Brazilian Oral Research
1981-3821,by-nc/4.0,Brazilian Political Science Review
0103-4979,by-nc/4.0,Caderno CRH
1413-9251,by-nc/4.0,Caderno de Estudos
0101-3262,by-nc/4.0,Cadernos CEDES
0100-1574,by-nc/4.0,Cadernos de Pesquisa
0102-311X,by-nc/4.0,Cadernos de Saúde Pública
1679-3951,by-nc/4.0,Cadernos EBAPE.BR
2236-9996,by-nc/4.0,Cadernos Metrópole
2316-8242,by-nc/4.0,Cadernos Nietzsche
0104-8333,by-nc/4.0,Cadernos Pagu
1414-462X,by-nc/4.0,Cadernos Saúde Coletiva
0366-6913,by-nc/4.0,Cerâmica
0104-7760,by/4.0,CERNE
1516-7313,by-nc/4.0,Ciência & Educação (Bauru)
1413-8123,by-nc/4.0,Ciência & Saúde Coletiva
1809-6891,by/4.0,Ciência Animal Brasileira
0100-1965,by-nc/4.0,Ciência da Informação
1413-7054,by/4.0,Ciência e Agrotecnologia
1980-5098,by-nc/4.0,Ciência Florestal
0103-8478,by-nc/4.0,Ciência Rural
1807-5932,by-nc/4.0,Clinics
2317-1782,by-nc/4.0,CoDAS
1808-1851,by-nc/4.0,Coluna/Columna
1807-0302,by-nc/4.0,Computational & Applied Mathematics
0102-8529,by-nc/4.0,Contexto Internacional
1984-7033,by/4.0,Crop Breeding and Applied Biotechnology
0011-5258,by-nc/4.0,Dados
0102-4450,by-nc/4.0,DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada
1980-5764,by/4.0,Dementia & Neuropsychologia
2176-9451,by-nc/4.0,Dental Press Journal of Orthodontics
0100-4670,by-nc/4.0,Eclética Química
1413-8050,by-nc/4.0,Economia Aplicada
0104-0618,by-nc/4.0,Economia e Sociedade
2175-6236,by-nc/4.0,Educação & Realidade
0101-7330,by-nc/4.0,Educação & Sociedade
1517-9702,by-nc/4.0,Educação e Pesquisa
0102-4698,by-nc/4.0,Educação em Revista
0104-4060,by-nc/4.0,Educar em Revista
1679-4508,by/4.0,Einstein (São Paulo)
0100-6916,by-nc/4.0,Engenharia Agrícola
1413-4152,by/4.0,Engenharia Sanitaria e Ambiental
1983-2117,by-nc/4.0,Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)
0104-4036,by-nc/4.0,Ensaio: Avaliação e Políticas Públicas em Educação
0328-0381,by-nc/4.0,Entomología y Vectores
2237-9622,by-nc/4.0,Epidemiologia e Serviços de Saúde
1414-8145,by-nc/4.0,Escola Anna Nery
0101-546X,by-nc/4.0,Estudos Afro-Asiáticos
0103-4014,by-nc/4.0,Estudos Avançados
2316-4018,by-nc/4.0,Estudos de Literatura Brasileira Contemporânea
0103-166X,by-nc/4.0,Estudos de Psicologia (Campinas)
1413-294X,by-nc/4.0,Estudos de Psicologia (Natal)
0101-4161,by-nc/4.0,Estudos Econômicos (São Paulo)
0103-2186,by-nc/4.0,Estudos Históricos (Rio de Janeiro)
1809-2950,by/4.0,Fisioterapia e Pesquisa
0103-5150,by-nc/4.0,Fisioterapia em Movimento
0100-4158,by-nc/4.0,Fitopatologia Brasileira
2179-8087,by/4.0,Floresta e Ambiente
0101-2061,by-nc/4.0,Food Science and Technology (Campinas)
1984-0292,by-nc/4.0,Fractal : Revista de Psicologia
1982-2553,by-nc/4.0,Galáxia (São Paulo)
1415-4757,by-nc/4.0,Genetics and Molecular Biology
0104-530X,by-nc/4.0,Gestão & Produção
0101-9074,by-nc/4.0,História (São Paulo)
2236-3459,by-nc/4.0,História da Educação
0104-5970,by-nc/4.0,"História, Ciências, Saúde-Manguinhos"
2236-8906,by-nc/4.0,Hoehnea
0104-7183,by-nc/4.0,Horizontes Antropológicos
0102-0536,by-nc/4.0,Horticultura Brasileira
0073-4721,by-nc/4.0,Iheringia. Série Zoologia
2175-8026,by-nc/4.0,Ilha do Desterro
1518-7012,by-nc/4.0,Interações (Campo Grande)
1809-5844,by-nc/4.0,Intercom: Revista Brasileira de Ciências da Comunicação
1414-3283,by-nc/4.0,"Interface - Comunicação, Saúde, Educação"
1809-4864,by-nc/4.0,International Archives of Otorhinolaryngology
1677-5538,by-nc/4.0,International braz j urol
1807-1775,by/4.0,JISTEM - Journal of Information Systems and Technology Management
0101-2800,by-nc/4.0,Jornal Brasileiro de Nefrologia
1676-2444,by-nc/4.0,Jornal Brasileiro de Patologia e Medicina Laboratorial
1806-3713,by-nc/4.0,Jornal Brasileiro de Pneumologia
0047-2085,by-nc/4.0,Jornal Brasileiro de Psiquiatria
2179-6491,by-nc/4.0,Jornal da Sociedade Brasileira de Fonoaudiologia
0021-7557,by-nc-nd/4.0,Jornal de Pediatria
0102-3586,by-nc/4.0,Jornal de Pneumologia
1677-5449,by-nc/4.0,Jornal Vascular Brasileiro
2237-9363,by-nc-nd/4.0,Journal of  Coloproctology (Rio de Janeiro)
1678-7757,by-nc/4.0,Journal of Applied Oral Science
1676-2649,by-nc/4.0,Journal of Epilepsy and Clinical Neurophysiology
2179-1074,by-nc/4.0,"Journal of Microwaves, Optoelectronics and Electromagnetic Applications"
2317-1537,by-nc/4.0,Journal of Seed Science
0103-5053,by-nc/4.0,Journal of the Brazilian Chemical Society
0104-6500,by-nc/4.0,Journal of the Brazilian Computer Society
0100-7386,by-nc/4.0,Journal of the Brazilian Society of Mechanical Sciences
1678-5878,by-nc/4.0,Journal of the Brazilian Society of Mechanical Sciences and Engineering
2238-1031,by/4.0,Journal of Transport Literature
0104-7930,by-nc/4.0,Journal of Venomous Animals and Toxins
1678-9199,by/4.0,Journal of Venomous Animals and Toxins including Tropical Diseases
0100-512X,by-nc/4.0,Kriterion: Revista de Filosofia
1679-7825,by/4.0,Latin American Journal of Solids and Structures
1518-7632,by/4.0,Linguagem em (Dis)curso
0102-6445,by-nc/4.0,Lua Nova: Revista de Cultura e Política
1983-6821,by/4.0,Machado de Assis em Linha
0104-9313,by-nc/4.0,Mana
0100-6045,by-nc/4.0,Manuscrito
1517-7076,by-nc/4.0,Matéria (Rio de Janeiro)
1516-1439,by-nc/4.0,Materials Research
0074-0276,by-nc/4.0,Memórias do Instituto Oswaldo Cruz
1984-2201,by-nc/4.0,Mercator (Fortaleza)
1980-6574,by/4.0,Motriz: Revista de Educação Física
0104-6497,by/4.0,Nauplius
1519-566X,by-nc/4.0,Neotropical Entomology
1679-6225,by-nc/4.0,Neotropical Ichthyology
0103-6351,by-nc/4.0,Nova Economia
0101-3300,by-nc/4.0,Novos Estudos - CEBRAP
0104-6276,by-nc/4.0,Opinião Pública
1984-9230,by-nc/4.0,Organizações & Sociedade
0103-863X,by-nc/4.0,Paidéia (Ribeirão Preto)
1982-8837,by-nc/4.0,Pandaemonium Germanicum
0031-1049,by-nc/4.0,Papéis Avulsos de Zoologia (São Paulo)
1517-7599,by/4.0,Per Musi
1413-9936,by/4.0,Perspectivas em Ciência da Informação
0100-204X,by-nc/4.0,Pesquisa Agropecuária Brasileira
1983-4063,by/4.0,Pesquisa Agropecuária Tropical
1517-7491,by-nc/4.0,Pesquisa Odontológica Brasileira
0101-7438,by-nc/4.0,Pesquisa Operacional
0100-736X,by-nc/4.0,Pesquisa Veterinária Brasileira
0103-7331,by-nc/4.0,Physis: Revista de Saúde Coletiva
0100-8358,by-nc/4.0,Planta Daninha
0104-1428,by/4.0,Polímeros
0103-6513,by-nc/4.0,Production
0104-5687,by-nc/4.0,Pró-Fono Revista de Atualização Científica
0103-7307,by-nc/4.0,Pro-Posições
0102-7182,by-nc/4.0,Psicologia & Sociedade
0103-5665,by-nc/4.0,Psicologia Clínica
1413-7372,by-nc/4.0,Psicologia em Estudo
1413-8557,by/4.0,Psicologia Escolar e Educacional
0103-6564,by-nc/4.0,Psicologia USP
1414-9893,by/4.0,Psicologia: Ciência e Profissão
0102-7972,by-nc/4.0,Psicologia: Reflexão e Crítica
0102-3772,by-nc/4.0,Psicologia: Teoria e Pesquisa
1413-8271,by/4.0,Psico-USF
1983-3288,by/4.0,Psychology & Neuroscience
0100-4042,by-nc/4.0,Química Nova
0100-3984,by-nc/4.0,Radiologia Brasileira
1676-5648,by-nc/4.0,RAE eletrônica
1678-6971,by-nc/4.0,RAM. Revista de Administração Mackenzie
1413-2311,by-nc/4.0,REAd. Revista Eletrônica de Administração (Porto Alegre)
0100-8587,by-nc/4.0,Religião & Sociedade
0370-4467,by-nc/4.0,Rem: Revista Escola de Minas
1980-8585,by-nc/4.0,REMHU : Revista Interdisciplinar da Mobilidade Humana
2446-4740,by-nc/4.0,Research on Biomedical Engineering
1980-993X,by/4.0,Revista Ambiente & Água
0100-6762,by-nc/4.0,Revista Árvore
1983-8042,by-nc/4.0,Revista Bioética
0034-7094,by-nc-nd/4.0,Revista Brasileira de Anestesiologia
0034-7108,by-nc/4.0,Revista Brasileira de Biologia
2179-8397,by-nc/4.0,Revista Brasileira de Cardiologia Invasiva
1516-635X,by/4.0,Revista Brasileira de Ciência Avícola
0100-0683,by-nc/4.0,Revista Brasileira de Ciência do Solo
0103-3352,by-nc/4.0,Revista Brasileira de Ciência Política
0101-3289,by-nc-nd/4.0,Revista Brasileira de Ciências do Esporte
1516-9332,by-nc/4.0,Revista Brasileira de Ciências Farmacêuticas
0102-6909,by-nc/4.0,Revista Brasileira de Ciências Sociais
1980-0037,by/4.0,Revista Brasileira de Cineantropometria & Desempenho Humano
0102-7638,#N/A,Revista Brasileira de Cirurgia Cardiovascular
1983-5175,by-nc/4.0,Revista Brasileira de Cirurgia Plástica
0101-9880,by-nc/4.0,Revista Brasileira de Coloproctologia
0034-7140,by-nc/4.0,Revista Brasileira de Economia
1413-2478,by-nc/4.0,Revista Brasileira de Educação
1413-6538,by-nc/4.0,Revista Brasileira de Educação Especial
1807-5509,by-nc/4.0,Revista Brasileira de Educação Física e Esporte
0100-5502,by-nc/4.0,Revista Brasileira de Educação Médica
0034-7167,by-nc/4.0,Revista Brasileira de Enfermagem
1415-4366,by-nc/4.0,Revista Brasileira de Engenharia Agrícola e Ambiental
1517-3151,by-nc/4.0,Revista Brasileira de Engenharia Biomédica
1806-1117,by-nc/4.0,Revista Brasileira de Ensino de Física
0085-5626,by-nc/4.0,Revista Brasileira de Entomologia
1415-790X,by/4.0,Revista Brasileira de Epidemiologia
0102-3098,by-nc/4.0,Revista Brasileira de Estudos de População
2176-6681,by-nc/4.0,Revista Brasileira de Estudos Pedagógicos
0102-695X,by-nc-nd/4.0,Revista Brasileira de Farmacognosia
0103-3131,by-nc/4.0,Revista Brasileira de Fisiologia Vegetal
0100-2945,by-nc/4.0,Revista Brasileira de Fruticultura
0102-261X,by-nc/4.0,Revista Brasileira de Geofísica
1809-9823,by/4.0,Revista Brasileira de Geriatria e Gerontologia
0100-7203,by-nc/4.0,Revista Brasileira de Ginecologia e Obstetrícia
1516-8484,by-nc/4.0,Revista Brasileira de Hematologia e Hemoterapia
0102-0188,by-nc/4.0,Revista Brasileira de História
1984-6398,by-nc/4.0,Revista Brasileira de Linguística Aplicada
1517-8692,by-nc/4.0,Revista Brasileira de Medicina do Esporte
0102-7786,by-nc/4.0,Revista Brasileira de Meteorologia
1413-7739,by-nc/4.0,Revista Brasileira de Oceanografia
0034-7280,by-nc/4.0,Revista Brasileira de Oftalmologia
0102-3616,by-nc/4.0,Revista Brasileira de Ortopedia
0034-7299,by-nc/4.0,Revista Brasileira de Otorrinolaringologia
1984-2961,by/4.0,Revista Brasileira de Parasitologia Veterinária
1516-0572,by/4.0,Revista Brasileira de Plantas Medicinais
0034-7329,by-nc/4.0,Revista Brasileira de Política Internacional
1516-4446,by-nc/4.0,Revista Brasileira de Psiquiatria
0482-5004,by-nc-nd/4.0,Revista Brasileira de Reumatologia
1519-9940,by-nc/4.0,Revista Brasileira de Saúde e Produção Animal
1519-3829,by-nc/4.0,Revista Brasileira de Saúde Materno Infantil
0303-7657,by-nc/4.0,Revista Brasileira de Saúde Ocupacional
0101-3122,by-nc/4.0,Revista Brasileira de Sementes
0103-507X,by-nc/4.0,Revista Brasileira de Terapia Intensiva
0101-8175,by-nc/4.0,Revista Brasileira de Zoologia
1516-3598,by-nc/4.0,Revista Brasileira de Zootecnia
1516-1846,by-nc/4.0,Revista CEFAC
0034-737X,by/4.0,Revista Ceres
1806-6690,by-nc/4.0,Revista Ciência Agronômica
1519-7077,by-nc/4.0,Revista Contabilidade & Finanças
0104-4230,by-nc/4.0,Revista da Associação Médica Brasileira
1983-3083,by/4.0,Revista da Educação Física / UEM
0080-6234,by-nc/4.0,Revista da Escola de Enfermagem da USP
0102-2555,by-nc/4.0,Revista da Faculdade de Educação
1516-8034,by-nc/4.0,Revista da Sociedade Brasileira de Fonoaudiologia
0037-8682,by-nc/4.0,Revista da Sociedade Brasileira de Medicina Tropical
0080-2107,by-nc/4.0,Revista de Administração (São Paulo)
1415-6555,by-nc/4.0,Revista de Administração Contemporânea
0034-7590,by-nc/4.0,Revista de Administração de Empresas
0034-7612,by-nc/4.0,Revista de Administração Pública
0034-7701,by-nc/4.0,Revista de Antropologia
1415-9848,by-nc/4.0,Revista de Economia Contemporânea
0103-2003,by-nc/4.0,Revista de Economia e Sociologia Rural
0101-3157,by-nc/4.0,Revista de Economia Política
0034-8309,by-nc/4.0,Revista de História (São Paulo)
0001-3714,by-nc/4.0,Revista de Microbiologia
1415-5273,by-nc/4.0,Revista de Nutrição
1807-2577,by-nc/4.0,Revista de Odontologia da UNESP
0103-0663,by-nc/4.0,Revista de Odontologia da Universidade de São Paulo
0101-8108,by-nc/4.0,Revista de Psiquiatria do Rio Grande do Sul
0034-8910,by-nc/4.0,Revista de Saúde Pública
0104-4478,by-nc/4.0,Revista de Sociologia e Política
1415-5419,by-nc/4.0,Revista Dental Press de Ortodontia e Ortopedia Facial
1808-2432,by-nc/4.0,Revista Direito GV
0100-6991,by-nc/4.0,Revista do Colégio Brasileiro de Cirurgiões
0104-8023,by-nc/4.0,Revista do Departamento de Psicologia. UFF
0041-8781,by-nc/4.0,Revista do Hospital das Clínicas
0020-3874,by-nc/4.0,Revista do Instituto de Estudos Brasileiros
0036-4665,by-nc/4.0,Revista do Instituto de Medicina Tropical de São Paulo
1806-0013,by/4.0,Revista Dor
0104-026X,by-nc/4.0,Revista Estudos Feministas
1983-1447,by-nc/4.0,Revista Gaúcha de Enfermagem
1983-4195,by/4.0,Revista IBRACON de Estruturas e Materiais
1414-4980,by-nc/4.0,Revista Katálysis
0104-1169,by-nc/4.0,Revista Latino-Americana de Enfermagem
1415-4714,by-nc/4.0,Revista Latinoamericana de Psicopatologia Fundamental
1980-6523,by-nc/4.0,Revista Odonto Ciência
0103-0582,by-nc-nd/4.0,Revista Paulista de Pediatria
1981-8637,by-nc/4.0,RGO - Revista Gaúcha de Odontologia
2175-7860,by-nc/4.0,Rodriguésia
0102-8839,by-nc/4.0,São Paulo em Perspectiva
1516-3180,by-nc/4.0,Sao Paulo Medical Journal
0104-1290,by-nc/4.0,Saúde e Sociedade
0103-1104,by-nc/4.0,Saúde em Debate
0103-1759,by-nc/4.0,Sba: Controle & Automação Sociedade Brasileira de Automatica
0103-9016,by-nc/4.0,Scientia Agricola
1678-3166,by/4.0,Scientiae Studia
2177-7055,by/4.0,Sequência (Florianópolis)
0101-6628,by-nc/4.0,Serviço Social & Sociedade
1984-6487,by-nc/4.0,"Sexualidad, Salud y Sociedad (Rio de Janeiro)"
1982-4513,by-nc/4.0,Sociedade & Natureza
0102-6992,by-nc/4.0,Sociedade e Estado
1517-4522,by-nc/4.0,Sociologias
0104-9224,by-nc/4.0,Soldagem & Inspeção
0100-5405,by-nc/4.0,Summa Phytopathologica
1806-6445,by-nc/4.0,Sur. Revista Internacional de Direitos Humanos
2179-8451,by/4.0,TEMA (São Carlos)
1413-7704,by-nc/4.0,Tempo
0103-2070,by-nc/4.0,Tempo Social
0104-0707,by-nc/4.0,Texto & Contexto - Enfermagem
2197-0025,by-nc/4.0,Theoretical and Experimental Plant Physiology
2237-101X,by-nc/4.0,Topoi (Rio de Janeiro)
1981-7746,by-nc/4.0,"Trabalho, Educação e Saúde"
0103-1813,by-nc/4.0,Trabalhos em Linguística Aplicada
0101-3173,by-nc/4.0,Trans/Form/Ação
0103-3786,by-nc/4.0,Transinformação
2237-6089,by-nc/4.0,Trends in Psychiatry and Psychotherapy
1982-5676,by-nc/4.0,Tropical Plant Pathology
2175-3369,by/4.0,urbe. Revista Brasileira de Gestão Urbana
0104-8775,by-nc/4.0,Varia Historia
1809-4341,by-nc/4.0,Vibrant: Virtual Brazilian Anthropology
1984-4670,by-nc/4.0,Zoologia (Curitiba)
